s2_id,lon,lat,time,cs_cdf,base_date,days_diff,abs_days_diff,corine,class,query_day,ARCHIVNR,Operat,vector_url,RGB_raster,NIR_raster,prevTime,Date,id
20230819T101609_20230819T102334_T32TNT,9.514963996929232,47.270250827086265,2023-08-19,0.9254901960784314,2023-08-11,8,8,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20230824T101601_20230824T101604_T32TNT,9.514963996929232,47.270250827086265,2023-08-24,0.9137254901960784,2023-08-11,13,13,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20230720T101609_20230720T102132_T32TNT,9.514963996929232,47.270250827086265,2023-07-20,0.8901960784313725,2023-08-11,-22,22,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20230715T101601_20230715T101733_T32TNT,9.514963996929232,47.270250827086265,2023-07-15,0.9254901960784314,2023-08-11,-27,27,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20230908T101559_20230908T102441_T32TNT,9.514963996929232,47.270250827086265,2023-09-08,0.9098039215686274,2023-08-11,28,28,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20230625T101601_20230625T102734_T32TNT,9.514963996929232,47.270250827086265,2023-06-25,0.9176470588235294,2023-08-11,-47,47,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20230928T101719_20230928T102123_T32TNT,9.514963996929232,47.270250827086265,2023-09-28,0.9098039215686274,2023-08-11,48,48,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20231003T101841_20231003T102549_T32TNT,9.514963996929232,47.270250827086265,2023-10-03,0.8862745098039215,2023-08-11,53,53,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,0
20230819T101609_20230819T102334_T32TNT,9.532692377252534,47.25931246431839,2023-08-19,0.9176470588235294,2023-08-11,8,8,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,1
20230824T101601_20230824T101604_T32TNT,9.532692377252534,47.25931246431839,2023-08-24,0.9098039215686274,2023-08-11,13,13,3,3,2023-09-03 12:00:00,2023270.0,Vorarlberg,https://data.bev.gv.at/download/Kataster/gpkg/national/KAT_DKM_GST_epsg31287_20230403.gpkg,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_RGB.tif,https://data.bev.gv.at/download/DOP//20240625/2023270_Mosaik_NIR.tif,20230401,2023-08-11,1
